recommendationid,voted_up,playtime_h,content,overall_sentiment,emotion,key_phrase,confidence,needs_verification,aspect_graphics_sentiment,aspect_gameplay_sentiment,aspect_story_sentiment,aspect_performance_sentiment,aspect_value_sentiment,aspect_graphics_evidence,aspect_gameplay_evidence,aspect_story_evidence,aspect_performance_evidence,aspect_value_evidence,keywords
214723790,1,59.7,너무너무 재미있습니다,POSITIVE,JOY,너무 재미있음,0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,너무 재미있습니다,,,,재미@content
214691741,1,15.7,소울게임 할 때마다 어려워서 금방 때려치는데 피의 거짓은 난이도 조절 있어서 스트레스 덜 받으면서 할 수 있었음. 그리고 연출이랑 노래도 좋아서 스토리도 재미있게 봄.,POSITIVE,SATISFACTION,"난이도 조절, 연출, 스토리 좋음",0.90,false,POSITIVE,POSITIVE,POSITIVE,NONE,NONE,연출 좋음,난이도 조절 있어서 스트레스 덜 받음,스토리도 재미있게 봄,,,난이도@content|연출@content|스토리@content
214648860,1,33.7,한국게임GOAT,POSITIVE,JOY,한국게임GOAT,0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,한국게임GOAT,,,,GOAT@content
214640746,1,34.6,이 개발진들은 월급도 응가도 엇박으로 받고 싸라 크윽!!! 너무 어려워!!!,NEGATIVE,ANGER,너무 어려움,0.90,false,NONE,NEGATIVE,NONE,NONE,NONE,,너무 어려워!!!,,,,어려움@content
214550930,1,29.9,왜 태그에 공포가 없는지 제일 궁금한 작품이다 갑툭튀 있음,NEGATIVE,SURPRISE,"공포게임, 갑툭튀 있음",0.85,false,NONE,NEGATIVE,NONE,NONE,NONE,,갑툭튀 있음,,,,공포@content|갑툭튀@content
213790534,1,47.2,세키로 엘든링 닼소 다 깼는데 피거짓은 입문자용 스타일리쉬? 한 느낌입니다 난이도는 밤불검들고 겜하는것 같음 마지막 진엔딩에서 제페토가 하는말 보고 눈물 살짝 남 피는 자신의 기준으로 판단내리는 인간이다!,POSITIVE,JOY,"피거짓, 입문자용 스타일리쉬 소울라이크",0.90,false,NONE,POSITIVE,POSITIVE,NONE,NEUTRAL,,"입문자용 스타일리쉬, 밤불검 같음",제페토 말 보고 눈물 살짝 남,,,난이도@content|스토리@content
213736488,1,15.7,간만에 게임하다가 스트레스 받았음. 검은 토끼단 제외하고는 좋음.,NEGATIVE,ANGER,"검은 토끼단, 스트레스 유발",0.80,false,NONE,NEGATIVE,NONE,NONE,NEUTRAL,,검은 토끼단 때문에 스트레스,,,,스트레스@other
213634624,1,47.8,세키로하고 해서 그런가 퍼가만 써서 클리어 했음. 손맛 좋은듯 나중에 2회차 돌고 DLC까지 사서 할것 같음.,POSITIVE,JOY,"손맛 좋은 퍼가, DLC 구매 의향",0.85,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,"퍼가만 써서 클리어, 손맛 좋음",,,DLC 사서 할 것 같음,손맛@content|DLC@value
213632570,1,70.8,국산게임중에선 스텔라블레이드랑 비교했을땐.. 개인적으론 재미는 스텔라블레이드에 한표를 주겠지만..  이게임도 정통 소울라이크 게임중에선 수준높은 완성도의 괜찮은 게임  스팀덱에서도 무리없이 매우 잘 돌아감,POSITIVE,SATISFACTION,"수준 높은 소울라이크, 스팀덱 최적화",0.90,false,NONE,POSITIVE,NONE,POSITIVE,NEUTRAL,,수준 높은 완성도의 괜찮은 게임,,스팀덱에서도 무리없이 잘 돌아감,,소울라이크@content|스팀덱@technical
213520028,1,21.6,재미는 있는데 패링 원패턴 너무 질림  솔직히 그냥 어려운 구르기 아닌가 싶기도 하고  그래도 맵이 단순해서 헤매는 시간이 많이 없던건 좋았음  추천,MIXED,BOREDOM,"패링 원패턴 지루, 단순한 맵 구조",0.80,false,NONE,NEGATIVE,NONE,NONE,POSITIVE,,패링 원패턴 너무 질림,,,맵이 단순해서 헤매는 시간 X,패링@content|맵@content
214052095,1,22.6,"흔히 잔혹 동화라는 말을 많이 쓴다. 그렇다고 '잔혹 동화' 자체가 컨셉이 아닌, 등장인물 하나하나에 녹여 있는 동화적인 면모와 모티브.  그것이 게임 특유의 시대상과 컨셉이 맞닿았을 때 보이는 잔혹함.",POSITIVE,SATISFACTION,잔혹 동화 컨셉과 동화적 면모의 조화,0.90,false,NONE,POSITIVE,POSITIVE,NONE,NONE,,동화적인 면모와 시대상의 잔혹함,등장인물에 녹아있는 동화적인 면모,,,잔혹 동화@content|동화@content
214041427,1,20.1,퍼펙트가드를 포기하면 게임이 편해져,POSITIVE,NEUTRAL,퍼펙트 가드 포기 시 게임 난이도 하락,0.80,false,NONE,POSITIVE,NONE,NONE,NONE,,퍼펙트 가드를 포기하면 편해짐,,,,퍼펙트 가드@gameplay|난이도@gameplay
213981874,1,43.7,진짜 스토리도 좋고 게임성도 좋은 게임...   다 좋긴한데 내가 쫄보라 놀라는 순간이 좀 있었다 ㅋㅋ,POSITIVE,JOY,"스토리, 게임성 모두 훌륭하지만 쫄보 주의",0.85,false,NONE,POSITIVE,POSITIVE,NONE,NONE,,게임성 좋음,스토리 좋음,,,스토리@content|게임성@gameplay
213979480,1,118.0,1회차 본편끝내고 dlc를 마쳤다. 스토리? 와.. 누님... 진짜 이쁘고 울뻔햇습니다.  1회차땐 이무기 저무기 좋았지만 역시 그 무기가 날먹 최고였다. 그리고 무기조합? 그런게 왜 필요해. dlc 엔딩때 레아누님이 습사기 무기 하나 던져주는데 이거하나로 3회차 까지 본편 dlc 싹 쓸어담음요.,POSITIVE,SATISFACTION,스토리 좋고 DLC 무기 하나로 올클리어,0.90,false,NONE,POSITIVE,POSITIVE,NONE,NONE,,DLC 엔딩 무기 하나로 싹 쓸어담음,"스토리 좋음, 누님 이쁨",,,스토리@content|DLC@content|무기@gameplay
213790819,1,38.7,DLC 재밌노 ㅋ 보스 다 재밌음,POSITIVE,JOY,DLC 재밌고 보스전도 즐거움,0.85,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,보스 다 재밌음,,,DLC 재밌음,DLC@content|보스@gameplay
214326174,1,218.5,이런 게임 잘 못하지만 뭐 온몸비틀기 해서 클리어합니다. ㅎ 전 스토리를 매우 중요하게 생각하고 또 좋아하는데 엘든링도 좋기는 했지만 피의거짓은 정말 좋았습니다. 뭐 유다희양이야 매번 만나지만 역시 스토리상 심금을 울리는 그 무언가가 여기에 있네요. DLC든 차기작이든 좋지만 이 이야기에 끝을 보고 싶습니다. 다음을 기대합니다.,POSITIVE,SATISFACTION,"스토리가 심금을 울리는 게임, 다음 작품 기대",0.90,false,NEUTRAL,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,,온몸비틀기 해서 클리어,"스토리를 매우 중요하게 생각, 좋았습니다",,,스토리@content|클리어@content
213334469,1,42.5,"본가 소울류가 아니라서 처음엔 의심이 좀 들었지만 하면 할수록 프롬에 비빌 수준으로 높은 완성도가 만족스러웠음. 특히 맵디자인과 보스전은 찐빠 나는 곳 없이 전체적으로 너무 잘 만든 것 같음. 스토리적인 디테일도 훌륭했음.   아쉬운 점이라면 일단 많은 빌드가 초회차에선 활용불가능하다는 것이었음. 제대로 된 고점을 보는 빌드는 2회차 중후반에 가서야 필요한 아뮬렛과 레벨을 충족해서 즐길 수 있는데, 스토리게임에서 첫 회차의 경험이 얼마나 중요한지 생각한다면 아무래도 아쉬운 부분임.   또 커스터마이징 요소가 거의 없는 게임임에도 코스튬의 가짓수가 너무 적고 그마저도 색깔놀이가 많아서 주인공 캐릭터에 더 애정을 가지고 몰입하기가 어려웠음. 무기 시스템은 아주 기발하지만 결국 사용되는 조합은 그렇게 많지 않다는 것도 아쉬웠음. 초회차에서 쓸만한 무기는 결국 인형도끼날이나 톱날, 성검, 트리아이나 창 등밖에 없는 것 같은데, 그마저도 무기들이 외형적으로도 애정이 가는 생김새는 아니어서 아",POSITIVE,SATISFACTION,"높은 완성도, 아쉬운 초회차 경험",0.90,false,NONE,POSITIVE,POSITIVE,NONE,NEGATIVE,,"높은 완성도, 훌륭한 맵 디자인",스토리적인 디테일도 훌륭,,"부족한 룩딸요소, 못생긴 무기",맵디자인@content|무기@content|룩딸@content
213332564,1,29.6,게임은 잘만들었고 재밌음 엔딩도 깔끔함 근데 후반부로 갈수록 정예몹 떡칠한거는 많이 불쾌함.,POSITIVE,NEUTRAL,재밌지만 후반부 몹 배치 불쾌,0.85,false,NONE,POSITIVE,POSITIVE,NONE,NEGATIVE,,게임은 잘 만들었고 재밌음,엔딩도 깔끔함,,정예몹 떡칠 불쾌함,재미@content|정예몹@content
213253269,1,60.2,맵지만 맛있는 음식같음 어렵지만 보스를 잡으면 그 뽕맛을 잊을 수가 없음,POSITIVE,JOY,맵지만 맛있는 음식,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,어렵지만 보스 잡으면 뽕맛,,,,보스@content|어려움@content
213227783,1,76.0,"소울 입문패키지로 추천 할 만한 게임  소울의 기본조작, 세키로의 패링, 블본의 리게인 너무 깊게 생각하지 않아도 되는 스토리와 복잡하지 않은 맵 최적화, 음악, 아트 등 이상 무슨 말이 필요함?",POSITIVE,SATISFACTION,소울 입문 패키지로 추천,0.95,false,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NONE,아트 등 이상 무슨 말이 필요함?,"소울의 기본 조작, 세키로 패링",깊게 생각하지 않아도 되는 스토리,최적화,,소울@content|최적화@technical|패링@content
213188196,1,36.7,"엔딩보고 기립박수 칠만한 게임 최적화 완벽, 레벨디자인 완벽 국산 소울류의 희망",POSITIVE,JOY,엔딩보고 기립박수 칠 게임,0.90,false,NONE,POSITIVE,NONE,POSITIVE,NONE,,레벨 디자인 완벽,,최적화 완벽,,최적화@technical|레벨디자인@content|소울류@content
213413403,1,28.8,레벨 디자인 자체가 맛있게 잘되어 있는 것 같습니다. 맵 설계도 악랄하면서 재미있는 게 좋았네요. 이런 느낌의 게임이 좀 더 많아졌으면 하는 생각입니다.,POSITIVE,JOY,"맵 설계, 레벨 디자인 훌륭",0.90,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,레벨 디자인 자체가 맛있게 잘되어,,,이런 느낌의 게임이 좀 더 많아졌으면,레벨 디자인@content|맵 설계@content
213391893,1,63.2,이런게임류가 처음이라 좀 어렵긴한데 재밌네 성당에서 길 못찾고 점프도 안되서 몇시간을 허비했는데 점프가 무게 무거우면 안되는거더라 열받긴해도 할만하다,POSITIVE,SATISFACTION,어렵지만 재밌다. 점프가 아쉽다.,0.80,false,NONE,POSITIVE,NONE,NEGATIVE,NEUTRAL,,재밌네 성당에서 길 못찾고 점프도 안되서,,점프가 무게 무거우면 안되는거더라,,재미@content|점프@technical|어려움@content
213389043,1,21.5,소울류 게임 처음해보는데 도대체 뭐가 어렵다고 징징거리는건지 이해가 안돼서 엘든링 살꺼임,POSITIVE,NEUTRAL,소울류 게임 어렵지 않다.,0.75,false,NONE,POSITIVE,NONE,NONE,NEUTRAL,,소울류 게임 처음해보는데 도대체 뭐가 어렵다고,,,,소울류@content|어려움@content
213355592,1,80.7,그리웠던 세키로 향기,POSITIVE,JOY,세키로와 유사한 재미,0.85,false,NONE,POSITIVE,NONE,NONE,NEUTRAL,,그리웠던 세키로 향기,,,,세키로@content
213335578,1,62.0,개꿀잼이요 안하면 손해,POSITIVE,JOY,"개꿀잼, 무조건 해야 함",0.95,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,개꿀잼이요,,,안하면 손해,꿀잼@content|손해@value
214195710,1,31.7,1회차 엔딩기준의 소감 비주얼 / OST / 액션 이것들은 상당히 준수한편이다 해금하여 듣는 음반들은 상당히 묘미가 좋고 한국게임사 답게 잘만든 캐릭터들의 모델링과 기깔난 맵디자인과 인형들로 만든 분위기 기깔나게 만든 전투와 액션성  하지만 1회차기준 전투의 밸런스와 레밸디자인 그리고 중요 보스들의 설계가 진짜 좆같음의 경지다 특히 메인보스들의 레밸디자인이 진짜 너무하다  6챕터까지 모든 몬스터들이 퍼펙트가드로 상대가능하게끔 되어있었으나 6챕터 보스에서 갑자기 횡이동을 주입한다 그 전까지의 횡이동공략 몬스터는 인간형 몬스터들이라 뒤잡에 약한 명확한 공략이 있으나 그 수가적고  6챕터 보스마냥 공격적이고 도전적인 난이도가 아니에다가 막상 6챕터 보스는 뒤잡이 가능하지않다 더불어서 빠른 연격과 몰아치는 타이밍등으로인해 마치 세키로마냥 연속으로 패링을 해야한다는 강박을준다. 그저 옆으로 빙빙돌면 파훼가 가능함에도. 소울라이크를 많이 해보았다면 괜찮을수도 있지만 단일게임으로 보면 상당히 무,NEGATIVE,ANGER,보스 레벨 디자인이 끔찍함,0.90,false,POSITIVE,NEGATIVE,NONE,NONE,NONE,"비주얼, 맵디자인 준수","전투 밸런스, 레벨 디자인 좆같음",,,,보스@content|레벨 디자인@technical|밸런스@technical
214098350,1,84.1,내 인생 첫 소울라이크. 길치에다 똥손이라 너무 힘들고 머리털 다 빠질 뻔. 필드 몬스터들 너무 그냥 다 찢어버리고 싶었음. 그치만 스토리 좋고 무엇보다 우리 p군이 잘생겨서 다 용서되는 느낌.,POSITIVE,SATISFACTION,힘들었지만 P군 외모와 스토리 만족,0.90,false,POSITIVE,NEGATIVE,POSITIVE,NONE,NONE,p군이 잘생겨서 다 용서됨,"길치, 똥손이라 너무 힘들었음",스토리 좋음,,,소울라이크@content|스토리@content|외모@other
214081706,1,28.4,"스토리 직관적이고, 그래픽, 세계관, 분위기, 음악, DLC까지 모두 훌륭했다.  이것이 한국형 소울!!!",POSITIVE,SATISFACTION,한국형 소울! 모든 것이 훌륭!,0.95,false,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,POSITIVE,그래픽 훌륭,,스토리 직관적,,DLC까지 모두 훌륭,그래픽@technical|스토리@content|DLC@value
214057838,1,30.5,"다크소울3 ,세키로,아머드코어6 해보고 피의거짓은 찜 목록에 넣어놓고 세일할때마다 살까말까 살까말까하다가 최근에서야 구매해서 플레이했는데 정말정말 재밌습니다, 난이도 조절이 3단계로 있던데 전설의 스토커가 예전 난이도조절 없을때 난이도라고해서 그걸로 엔딩봤습니다, 보스는 대부분 1트했는데 필드 난이도가 다크소울에 비해서 훨씬 EASY한 편이라 다크소울에 비해 피로감이 훨씬 적은게 큰 장점. 다크소울이랑 비슷하면서도 전혀 다른맛이라 소울류 좋아하면 무조건 구매 추천하는 게임.",POSITIVE,SATISFACTION,소울류 팬에게 강력 추천하는 재미있는 게임,0.95,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,"정말 재밌습니다, 소울류 좋아하면 추천",,,소울류 좋아하면 무조건 구매 추천,다크소울@content|난이도@content|재미@content
213046676,1,66.4,"소울류 재밌게 했으면 이 게임이 재미가 없을 수가 없음  간혹 다크소울 2급으로 악랄하다 주장하는 글이 보이는데  100퍼센트 장담 할 수 있는데 걔네들 스꼴라 해본적도 없음 ㅇㅇ     오히려 엄청 친절한 축에 속함.. 놀래키기만 하고 죽이진 않음.  만약 죽었다? 대체로 딸피 상황이라 진짜 개억까 당한경우거나 방심을 제대로 했거나  아니면 진짜 게임을 못해서일듯,,    악랄함과는 별개로 난이도 자체는 높다고 생각함  저스트가드(패링) 타이밍이 상당히 빡빡한 편, 세키로의 튕겨내기보다 훨씬 빡빡함  대시 회피 판정도 여타 소울류에 비해 짠편  퓨리어택은 좀 지랄맞은 면이 많긴 하고 ㅇㅇ  퓨리어택은 하다못해 정박 위주로 디자인했으면 모르겠는데  엇박에 엇박 파티인 게임에 퓨리어택도 개씨발엇박이니 그냥 모르면 쳐맞아야함 ㅇㅇ    라고 까긴 했지만 소울류 특유의 재미는 분명히 제공함  맵이 짧고 단순해서 아쉽다는 의견도 있지만 비교적 컴팩트하게 디자인해서 스트레스를 분명히 줄였고 ",POSITIVE,SATISFACTION,"소울류 재미, 친절한 난이도, 훌륭한 보스전",0.90,false,POSITIVE,POSITIVE,POSITIVE,NONE,NEUTRAL,직관적이고 매력적인 아트워크,소울류 특유의 재미는 분명히 제공,직관적이고 매력적인 스토리,,,소울류@content|보스전@content|난이도@content
213042653,1,158.9,첫 소울 라이크 입문작으로서 맛있게 먹음. 조금 아쉬운 필드가 몇몇 있지만 전체적으로 기본기가 좋아서 재밌다.,POSITIVE,SATISFACTION,"첫 소울 라이크 입문, 맛있게 즐김",0.80,false,NONE,POSITIVE,NONE,NONE,NEUTRAL,,전체적으로 기본기가 좋아서 재밌다,,,,소울라이크@content|기본기@technical
213042357,1,193.0,"그냥 존오오온나 보스한테 이기지 못하는, 극복하지 못하는 나 자신한테 화가 나서 계속 하게 됨  이겨냈을 때 뿌듯함이 행복함",POSITIVE,SATISFACTION,"극복의 쾌감, 계속하게 되는 게임",0.85,false,NONE,POSITIVE,NONE,NONE,NEUTRAL,,극복했을 때 뿌듯함이 행복함,,,,극복@content|성취감@other
212972926,1,31.6,이걸 이제 해보다니,NEUTRAL,NEUTRAL,늦게 시작한 아쉬움,0.50,true,NONE,NEUTRAL,NONE,NONE,NONE,,,,,,
212958410,1,19.2,소울라이크 맛은 보고 싶은데 시간도 없고 피지컬도 안 되는 사람들을 위한 캐주얼 모드  재밌긴 한데 다른 소울 라이크 게임보다 친절하다는 점 외에 어떤 독득한 시스템이 있는지는 잘 모르겠음  최종 보스가 다소 최종 보스다운 간지가 없음  기본이 탄탄해서 플레이 자체는 재밌음,POSITIVE,SATISFACTION,"캐주얼 소울라이크, 탄탄한 기본",0.80,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,기본이 탄탄해서 플레이 자체는 재밌음,,,캐주얼 모드,소울라이크@content|캐주얼@content|기본@technical
212957465,1,56.0,패리하지말고회피를선호하라,NEGATIVE,ANGER,패리보다 회피 선호,0.70,true,NONE,NEGATIVE,NONE,NONE,NONE,,패리하지말고회피를선호하라,,,,회피@content|패리@content
212902610,1,6.4,소울 입문 이걸로 했는데 제일 친절하고 재밌어요 추천,POSITIVE,JOY,소울 입문으로 추천,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,제일 친절하고 재밌어요,,,,소울@content|입문@content|추천@value
212834946,1,112.2,"""Geppetto's puppet... We need your help.""",NEUTRAL,NEUTRAL,인용구,0.60,true,NONE,NONE,NONE,NONE,NONE,,,,,,Geppetto@content|puppet@content
212823603,1,179.6,마지막 알레키노를 잡고  엔딩까지 다 봤는데도 먼가 떠나기 싫은 느낌이야... 이정도면 명작이다...,POSITIVE,SATISFACTION,떠나기 싫은 명작,0.95,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,떠나기 싫은 느낌,,,명작이다,명작@value|엔딩@content
212800920,1,36.4,"장점이 많은 소울라이크 게임인 것 같습니다. 첫 장점은 훌륭한 스토리입니다. 직관적이면서도 얕지 않은 스토리 라인을 따라 이야기를 흡인력 있게 이어가는 훌륭한 스토리텔링을 보여줍니다. 스토리의 주제를 잘 담아낼 수 있는 세계관의 설정도 절묘했다고 생각하고, 게임 중간중간 등장하는 NPC들도 특별히 버려지는 인물 없이, 한 명 한 명의 서사가 잘 갖춰져 있었습니다.   두 번째 장점은 스토리를 뒷받침하는 그래픽 디자인과 음악입니다. 게임의 세계관을 잘 표현하는 수려한 맵 디자인과 음악들이 조화롭게 어우러져 게임 속의 이야기에 몰입감을 더해줍니다. 특히 게임 중 수집할 수 있는 음반 음악들이 정말 서정적이고 아름다웠습니다.   세 번째 장점은 플레이스타일의 유연성입니다. 무기 선택과 스왑, 아뮬렛 및 방어구, 리전 암, P기관 해방 등 다양한 커스텀을 통해, 상대해야 하는 적의 유형, 혹은 본인의 취향에 따라 상당히 유연한 플레이가 가능합니다. 세팅에 따라 전통적인 소울류의 회피 전투를",POSITIVE,SATISFACTION,"스토리, 그래픽, 게임플레이 훌륭",0.90,false,POSITIVE,POSITIVE,POSITIVE,NONE,NONE,수려한 맵 디자인,플레이스타일의 유연성,훌륭한 스토리,,,스토리@content|그래픽@content|유연성@content
212684150,1,65.0,DLC를 구매하고 오랜만에 게임 불감증이 해소되었습니다.,POSITIVE,JOY,DLC 구매 후 게임 불감증 해소,0.95,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,게임 불감증 해소,,,DLC 구매 후 만족,DLC@content|불감증 해소@other
212612147,1,137.5,tlqkf 검정토끼놈들이랑 더러운 녹색진흙탕 ㅅㄲ 녹색ㅅㄲ 덕분에 진보스 무사히 잘 깼다 빌어먹을  스토리는 너무 탄탄하다 못 해 철강이라서 대가리 깨질 거 같음 처음으로 소울류 중 인생겜으로 정했다,POSITIVE,JOY,"스토리 탄탄, 인생 소울류 게임",0.90,false,NEGATIVE,POSITIVE,POSITIVE,NONE,NONE,"검정토끼, 녹색진흙탕",진보스 무사히 클리어,스토리가 너무 탄탄함,,,소울류@content|스토리@content|진보스@content
212554907,1,22.9,국산 소울류 게임 인데 재미 있었음 오랜만에 소울류 재미 있게 했음,POSITIVE,JOY,"국산 소울류 게임, 재미있음",0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,재미있게 했음,,,,소울류@content|국산@other
212398956,1,53.6,존나재밌음 그냥,POSITIVE,JOY,존나 재밌음,0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,존나 재밌음,,,,재미@content
212398343,1,81.2,엇박에 미친 겜    모든 잡몹과 보스몹이 엇박으로 공격을 해서 회피 난이도가 본가류에 비하면 한참 높음    몹들 공격 패턴을 엇박으로 도배해서 난이도를 올려놨으면서 왜 난이도 선택 기능을 만든건지 이해할 수 없다    거기에 퍼팩트 가드로만 대처할 수 있는 퓨리 어택은 엇박과 유도성 때문에 퍼펙트 타이밍을 외우기 전까진 무조건 쳐맞게 설계해놨음    결과적으론 추천할만한 게임이지만 무지성 엇박 도배를 보고있으면 개발사가 유저의 재미를 추구하기 보단 유저 엿먹일려는 심보로 게임을 만든 것 같다,MIXED,ANGER,"엇박 위주 난이도, 유저 엿먹이는 심보",0.80,false,NONE,NEGATIVE,NONE,NONE,NONE,,"엇박 공격, 회피 난이도 높음",,,,엇박@technical|난이도@technical|퓨리어택@content
212393587,1,24.1,후속작 나오면 기묘하고 템포 늘어지는 퍼가 시스템 말고 화끈하게 총패링 넣어주십샤  그래도 덕분에 블본 플레이 욕구 제대로 뿜뿜했으니 ㄳㄳ,POSITIVE,SATISFACTION,"후속작에 총패링 희망, 블본 욕구 자극",0.90,false,NONE,NEGATIVE,NONE,NONE,POSITIVE,,템포 늘어지는 퍼가 시스템,,,블본 플레이 욕구 뿜뿜,총패링@content|블본@content
212322281,1,5.3,소울라이크에 익숙하지 않은 분들에게 조금은 순한 맛의 입문이 될 국산 소울라이크 게임,POSITIVE,SATISFACTION,소울라이크 입문으로 적합,0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,순한 맛의 입문,,,,소울라이크@content|입문@value
212294558,1,129.1,심장이 고동친다.,POSITIVE,JOY,심장이 고동친다,0.80,false,NONE,POSITIVE,NONE,NONE,NONE,,심장이 고동친다,,,,심장@other
212283897,1,260.4,벽에 무기 부딪히는거 개빡치지만 재밌다,POSITIVE,MIXED,"벽에 무기 부딪히는 건 짜증, 그래도 재밌다",0.90,false,NONE,POSITIVE,NONE,NEGATIVE,NONE,,재밌다,,벽에 무기 부딪힘,,무기@content|재미@value
211789412,1,44.8,초반을 잘 적응하면 다양한 무기를 사용하며 재미를 느낄 수 있는 갓겜,POSITIVE,SATISFACTION,초반 적응하면 갓겜,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,다양한 무기 사용,,,,무기@content|재미@value|갓겜@value
211714582,1,116.8,"그래픽, 브금, 액션 삼박자 다 갖춘 국산 소울겜 bb",POSITIVE,JOY,"그래픽, 브금, 액션 삼박자 국산 소울겜",0.95,false,POSITIVE,POSITIVE,NONE,NONE,NONE,그래픽,액션,,,,그래픽@technical|액션@content|소울겜@content
211708587,1,41.9,"재밌음. 재밌는데, 이상하게 회차 돌 생각은 안 남.",POSITIVE,SATISFACTION,재밌지만 회차 돌 생각은 안 남,0.80,false,NONE,POSITIVE,NONE,NONE,NONE,,재밌음,,,,재밌음@content|회차@content
211666392,1,21.6,패링의 맛이 좀 떨어지지만 재미는 있음,POSITIVE,SATISFACTION,패링 아쉽지만 재미는 있음,0.85,false,NONE,MIXED,NONE,NONE,NONE,,패링의 맛이 좀 떨어지지만,,,,패링@content|재미@content
211648268,1,117.1,간단히 즐길 수 있는 게임. 난이도도 딱 적당해서 정말 재밌게 플레이 함,POSITIVE,JOY,"난이도 적당, 간단히 즐기는 게임",0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,간단히 즐길 수 있는 게임,,,,난이도@content|재미@content
211589385,1,48.2,전체적으로 많이 쉬워져 소울 입문작으로 강추,POSITIVE,SATISFACTION,소울 입문작으로 강추,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,전체적으로 많이 쉬워져,,,,소울@content|입문@content
211387021,1,204.8,"Mac에서 지원하는 몇 안되는 3D 소울라이크, 게다가 컨트롤러 지원, 게다가 한국 개발사 Mac 사용자라면 구매를 망설일 이유가 없다.",POSITIVE,SATISFACTION,Mac 유저에게 강력 추천,0.95,false,NONE,POSITIVE,NONE,POSITIVE,POSITIVE,,컨트롤러 지원,,Mac에서 지원,구매를 망설일 이유가 없다,Mac@technical|컨트롤러@technical|소울라이크@content
211234165,1,79.0,게임하면서 그저 게임이 재미있었던 게임,POSITIVE,JOY,그저 재미있는 게임,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,게임이 재미있었다,,,,재미@content
211188039,1,80.0,"소울류는 끝을 향해 가는 여정이라 생각했는데, 이 게임은 다음을 기대하게 만드는 매력이 있다",POSITIVE,SATISFACTION,다음이 기대되는 게임,0.92,false,NONE,POSITIVE,NONE,NONE,NONE,,다음을 기대하게 만드는 매력,,,,매력@content|소울류@content
211165472,1,45.3,엑박 패스로 즐기고 dlc나와서 다시 즐기는데 매우 재미있습니다,POSITIVE,JOY,DLC 포함 매우 재미있음,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,매우 재미있습니다,,,,재미@content|DLC@content
211160582,1,33.6,"소울 특유의 그 맛과 비결을 고대-로 가져와 한국에서 만들어낸 소울류 국밥같은 게임. 처음에는 너무 매콤하다 못해 핵불닭 맛으로 내버린 찐빠가 있었다고 들었으나 시간이 지나면서 맛있게 매운 크라트 국밥이 되었습니다. 암령 그런거도 없어서 스토리 잘 즐기다가 암령 뭐시기한테 농락당하다가 등짝 따이는 스트레스를 받지 않아도 됩니다. 사람 놀라게 하는 최적화 기술과 아트 디자인, 그리고 음악은 덤입니다.  이 게임이 진짜 놀라운게, 여지껏 나온 소울류 게임 중에서는 본가 게임을 제외하면 진짜 엄청나게 그 특유의 게임 스타일을 해치지 않으면서도 예쁜 디자인을 유지한채 게임 밸런스를 갖춘, 생각보다 무진장 어려운일인데 그걸 성공해서 낸 작품입니다. 기술도 디자인도 이도저도 안되는데 어설프게 유행 따라 가면 되겠지 하고 내버리거나, 소울류 그까짓거 어려우면 장땡이지 하다가 게이머가 소화도 못시킬 수준의 독극물을 만들어내거나, 비주얼로 압도하겠다면서 자신감이 주체가 안되서 넘치다 못해 급발진을 ",POSITIVE,SATISFACTION,"소울류 입문, 고인물 모두 추천",0.98,false,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,예쁜 디자인,소울 특유의 그 맛,스토리 잘 즐기다가,놀라게 하는 최적화 기술,입문자에게도 추천,소울류@content|디자인@content|최적화@technical
211094559,1,54.5,피구라가 있는 시대에 태어나서 다행이다,POSITIVE,JOY,피구라 시대에 태어나서 다행,0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,피구라가 있는 시대에 태어나서 다행,,,,피구라@content
210872967,1,63.5,난 게이가 될 수 없다 이 악마야.,NEUTRAL,NEUTRAL,게이가 될 수 없다,0.70,true,NONE,NEUTRAL,NONE,NONE,NONE,,난 게이가 될 수 없다 이 악마야.,,,,게이@other
